;Grave;Mno;FL;BH;BFA;FA;CD;BRA;ED;FEL;C;BW;BT;FEW;Coils;Length;fibula_scheme
1;121;348;28;17;1;10;10;2;8;6;20;2,5;2,6;2,2;4;53;B
2;130;545;29;15;3;8;6;3;6;10;17;11,7;3,9;6,4;6;47;B
3;130;549;22;15;3;8;7;3;13;1;17;5;4,6;2,5;10;47;B
8;157;85;23;13;3;8;6;2;10;7;15;5,2;2,7;5,4;12;41;B
11;181;212;94;15;7;10;12;5;11;31;50;4,3;4,3;NA;6;128;C
12;193;611;68;18;7;9;9;7;3;50;18;9,3;6,5;NA;4;110;C
13;23;643;15;18;1;10;10;1;5;0;15;3,5;3,5;0;4;40;A
14;31;812;23;26;4;7;9;5;12;1;16;6,2;7,7;2,8;4;74;A
15;44;752;10;10;2;10;6;2;2;NA;9;2;2,3;2,2;3;26;A
16;48;788;15;19;2;8;7;3;3;4;12;3,7;3,5;1,9;4;56;B
17;49;798;20;23;2;8;7;1;8;5;16;7,7;5,2;2,6;6;68;B
18;6;673;27;15;6;8;7;5;3;11;11;3,7;3,5;1,8;4;55;A
19;61;821;20;13;5;8;5;2;10;5;10;4,4;4,4;5,1;6;36;B
20;61;830;20;14;1;8;6;1;3;4;14;14,3;1,4;1,7;6;44;B
21;68;587;22;18;1;8;7;1;5;8;17;8,8;3;2,4;6;59;B
22;80;529;12;22;1;6;9;1;9;0;11;6,8;6,4;0;4;45;B
23;91;464;20;15;2;7;7;3;6;10;12;5,5;3,8;3,9;6;50;B
