"site";"Meisselstich – Flaechendeckend";"Halbbogenmuster";"große Winkelreihe";"gekerbter Backteller";"vertikaler Meisselstich – reihig";"vertikale plastische Leiste";"Dolmenflasche";"Meisselstich unter dem Rand";"Kragenflasche";"Trichterflasche";"Oesenbecher";"Amphore mit kleinen Henkeloesen (mitteldeutscher Type)";"Meisselstich und Winkelreihe";"Schnurabdruck";"Spantenmuster";"geschnittene Fransen";"Winkelschnurstempel";"Schale";"Trichterbecher";"Schnittechnik – allgemein";"Konushalsgefaess";"Rundstempel oder runder Einstich";"Leiterbandmuster";"Fransen in Furchenstich";"Ovalstempel oder Ovalstich";"Spitze/Spitzovale Stiche";"breiter Furchenstich/Treppenstich";"Backteller mit feiner Durchlochung";"Querstichstich/Stacheldraht";"runde, plastische Applikation (Knopf)";"steilwandige Schale/Kessel";"Tasse mit Dreiecksverzierung auf Schulter";"Amphore mit großer Henkeloese";"Tasse";"Winkelstapel";"tonnenfoermiger Becher mit kleinen Oesen";"getupfter Querstich";"Schale mit Innenrandverzierung";"Schultergefaess (unverziert)";"Backteller mit modelierter Durchlochung";"halbmondfoermige plastische Applikation";"Fruchtschale";"Tasse mit Fransenmuster (Furchenstich) auf der Schulter";"feine Winkelstichreihe";"vertikaler Winkelstich"
"LA 913";1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LA 42/43";1;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LA 918";0;1;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LA 115";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dassendorf";0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LA 7";0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Fredenburg/Farchau";0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Moelln LA 13";0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
"Wohltorf LA 13";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"LA 14";0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
"LA 8";0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"LA 11";0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0
"LA 1";0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"Rothenhaus/Hamburg";0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0
"LA 123/I";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1
"LA 123/II";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0
"LA 61";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1
"LA 2";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1
"Schnakenbek 5";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0
"Schnakenbek 6";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1
"Schnakenbek/Grünhof LA 6";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
